pop,ssp,ploidy,type,family,garden,year,grwvol_m,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD0 ,DD5 ,DDL18 ,DDG18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,DD0_wt ,DD5_sm 
IDW-3,wyomingensis,4x,w4x,IDW-3-2,Ephraim,y11,1.36176586,10.2,22.6,-1.7,24.2,271,82,74.4,274.1,243,2497,3192,364,226,125,278,152,28,-27.8,40.8,15.7,1012,808,55,84,79,43,65,208,1455
UTW-1,wyomingensis,4x,w4x,UTW-1-3,Ephraim,y12,1.361158628,9.9,23.7,-3.9,27.6,306,138,64.9,170.9,366,2594,3394,434,213,123,282,160,31,-33.4,39.7,17.2,1033,779,54,51,72,85,97,317,1548
UTT-1,tridentata,2x,t2x,UTT-1-2,Ephraim,y12,1.360462959,6.9,19,-4.1,23.2,318,151,53.1,125.7,479,1755,4158,120,157,161,259,97,63,-37.7,37.1,18,980,729,46,67,74,98,78,375,1138
WAT-1,tridentata,2x,t2x,WAT-1-4,Ephraim,y11,1.353980055,11,22.8,-0.5,23.3,278,71,75.7,322.5,186,2681,2932,415,257,115,292,177,22,-24.4,41,14.3,959,763,59,100,72,35,71,159,1499
NMT-2,wyomingensis,4x,t4x,NMT-2-8,Majors,y12,1.349993553,9.7,22.1,-2.4,24.5,255,146,77.1,150.7,308,2440,3362,330,187,140,276,136,17,-35.4,39.1,18.9,1195,962,44,33,46,103,73,260,1435
MTT-1,tridentata,2x,t2x,MTT-1-2,Ephraim,y12,1.34795411,7.7,21.6,-5.7,27.2,358,200,49.5,107.8,540,2173,3989,267,188,132,269,137,48,-36.6,39.4,14.7,880,568,52,47,135,94,82,444,1351
AZW-1,wyomingensis,4x,t4x,AZW-1-4,Ephraim,y11,1.347074799,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
CAT-2,tridentata,2x,t2x,CAT-2-7,Majors,y12,1.34132315,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
MTW-2,wyomingensis,4x,w4x,MTW-2-6,Majors,y12,1.333825531,7.6,23.6,-8.6,32.2,340,223,51.8,105.9,773,2414,4170,409,186,129,269,140,46,-39.5,41.9,13.9,906,602,50,36,101,136,67,650,1526
IDT-2,tridentata,2x,t2x,IDT-2-10,Majors,y12,1.332983223,9.9,22.8,-2.3,25.1,279,68,71.1,334,276,2452,3316,371,217,132,277,145,39,-29.1,41.6,15.7,1022,824,54,102,86,30,62,235,1468
ORT-1,tridentata,2x,t2x,ORT-1-1,Ephraim,y11,1.330071746,8.2,20.5,-2.9,23.4,342,109,53,187.8,347,1990,3776,206,177,151,260,109,57,-32.6,40,16.4,987,730,49,103,98,57,84,278,1262
NMT-2,wyomingensis,4x,t4x,NMT-2-3,Ephraim,y11,1.329365269,9.7,22.1,-2.4,24.5,255,146,77.1,150.7,308,2440,3362,330,187,140,276,136,17,-35.4,39.1,18.9,1195,962,44,33,46,103,73,260,1435
IDT-2,tridentata,2x,t2x,IDT-2-2,Majors,y12,1.328957611,9.9,22.8,-2.3,25.1,279,68,71.1,334,276,2452,3316,371,217,132,277,145,39,-29.1,41.6,15.7,1022,824,54,102,86,30,62,235,1468
AZT-1,wyomingensis,4x,t4x,AZT-1-2,Ephraim,y11,1.328607862,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT-1,wyomingensis,4x,t4x,AZT-1-5,Majors,y12,1.325559539,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
MTT-1,tridentata,2x,t2x,MTT-1-6,Ephraim,y12,1.321641394,7.7,21.6,-5.7,27.2,358,200,49.5,107.8,540,2173,3989,267,188,132,269,137,48,-36.6,39.4,14.7,880,568,52,47,135,94,82,444,1351
ORT-3,tridentata,2x,t2x,ORT-3-7,Majors,y12,1.321035954,6.6,18,-2.6,20.6,321,115,51.9,156.4,393,1568,4213,88,172,163,262,99,66,-31.2,37.5,16.1,837,607,55,78,99,60,83,283,1038
ORW-1,wyomingensis,4x,w4x,ORW-1-2,Ephraim,y11,1.317839088,7.7,20.1,-3.7,23.9,295,86,60.2,233.3,411,1938,3905,185,171,153,255,102,69,-33.7,40.3,16.1,956,779,49,105,74,47,69,334,1231
UTT-1,tridentata,2x,t2x,UTT-1-1,Ephraim,y11,1.315640172,6.9,19,-4.1,23.2,318,151,53.1,125.7,479,1755,4158,120,157,161,259,97,63,-37.7,37.1,18,980,729,46,67,74,98,78,375,1138
NVT-2,tridentata,2x,t2x,NVT-2-9,Majors,y12,1.306492533,8.9,21.6,-2.3,24,239,101,79.1,215,328,2222,3584,277,188,144,272,128,29,-34.1,39.9,18,1069,864,48,54,65,56,64,266,1366
AZW-1,wyomingensis,4x,t4x,AZW-1-3,Ephraim,y11,1.306453266,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
NVT-1,tridentata,2x,t2x,NVT-1-1,Ephraim,y11,1.290921313,8.9,21.3,-1.8,23.1,265,108,71.1,197.9,289,2138,3558,243,171,150,259,109,29,-34.5,40.6,17.3,1111,888,44,68,82,59,57,233,1320
NMT-2,wyomingensis,4x,t4x,NMT-2-10,Majors,y12,1.287087903,9.7,22.1,-2.4,24.5,255,146,77.1,150.7,308,2440,3362,330,187,140,276,136,17,-35.4,39.1,18.9,1195,962,44,33,46,103,73,260,1435
UTV-2,wyomingensis,4x,w4x,UTV-2-5,Ephraim,y11,1.280932541,6.8,19,-4.2,23.1,323,152,52.1,124.5,484,1744,4174,117,157,162,259,97,65,-37.7,37,18,976,722,46,69,76,99,79,378,1132
CAT-2,tridentata,2x,t2x,CAT-2-9,Ephraim,y11,1.28091348,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
ORT-2,tridentata,2x,t2x,ORT-2-8,Orchard,y12,1.280395894,11.6,23,0.5,22.5,244,61,88.4,380.2,150,2792,2767,442,259,112,289,177,15,-23.7,40.9,14.6,1018,824,58,91,58,30,65,128,1527
WAT-1,tridentata,2x,t2x,WAT-1-6,Ephraim,y11,1.275233476,11,22.8,-0.5,23.3,278,71,75.7,322.5,186,2681,2932,415,257,115,292,177,22,-24.4,41,14.3,959,763,59,100,72,35,71,159,1499
IDT-3,tridentata,2x,t2x,IDT-3-6,Ephraim,y11,1.271809949,8.1,20.3,-2.5,22.8,377,118,48,172.3,344,1965,3793,199,185,150,266,116,61,-31.1,39.3,16.1,924,669,52,105,114,65,93,273,1247
NMT-1,wyomingensis,4x,t4x,NMT-1-9,Ephraim,y12,1.268663298,8.2,20.6,-3.7,24.3,293,166,62,124.1,408,2089,3779,213,170,152,270,118,33,-37.5,37.7,18.8,1078,831,44,46,53,115,79,337,1290
NMT-1,wyomingensis,4x,t4x,NMT-1-9,Ephraim,y11,1.264468496,8.2,20.6,-3.7,24.3,293,166,62,124.1,408,2089,3779,213,170,152,270,118,33,-37.5,37.7,18.8,1078,831,44,46,53,115,79,337,1290
NMT-1,wyomingensis,4x,t4x,NMT-1-5,Majors,y12,1.264192762,8.2,20.6,-3.7,24.3,293,166,62,124.1,408,2089,3779,213,170,152,270,118,33,-37.5,37.7,18.8,1078,831,44,46,53,115,79,337,1290
MTT-1,tridentata,2x,t2x,MTT-1-5,Ephraim,y11,1.263754316,7.7,21.6,-5.7,27.2,358,200,49.5,107.8,540,2173,3989,267,188,132,269,137,48,-36.6,39.4,14.7,880,568,52,47,135,94,82,444,1351
WAT-2,wyomingensis,4x,t4x,WAT-2-7,Ephraim,y12,1.25726915,10.7,22.5,-1.4,24,194,53,106.4,428.3,231,2637,3059,404,244,116,287,172,22,-26.6,40.9,14.5,938,803,59,72,46,28,48,199,1492
ORW-3,tridentata,2x,t2x,ORW-3-1,Ephraim,y12,1.253832417,7.8,18.2,-1.5,19.7,286,97,62.3,187.8,278,1763,3781,101,172,161,253,92,37,-30.5,39.1,15,954,747,49,86,71,57,72,215,1081
ORT-1,tridentata,2x,t2x,ORT-1-3,Majors,y12,1.252672727,8.2,20.5,-2.9,23.4,342,109,53,187.8,347,1990,3776,206,177,151,260,109,57,-32.6,40,16.4,987,730,49,103,98,57,84,278,1262
NMT-1,wyomingensis,4x,t4x,NMT-1-9,Majors,y12,1.247472804,8.2,20.6,-3.7,24.3,293,166,62,124.1,408,2089,3779,213,170,152,270,118,33,-37.5,37.7,18.8,1078,831,44,46,53,115,79,337,1290
MTT-1,tridentata,2x,t2x,MTT-1-6,Majors,y12,1.243926438,7.7,21.6,-5.7,27.2,358,200,49.5,107.8,540,2173,3989,267,188,132,269,137,48,-36.6,39.4,14.7,880,568,52,47,135,94,82,444,1351
